threshold,coverage,accepted_accuracy,accepted_count,review_count,accepted_errors
0.999896,0.9791,1.0,9791,209,0
0.999897,0.9788,1.0,9788,212,0
0.999898,0.9788,1.0,9788,212,0
0.999899,0.9787,1.0,9787,213,0
0.9999,0.9785,1.0,9785,215,0
0.999902,0.9782,1.0,9782,218,0
0.999903,0.978,1.0,9780,220,0
0.999904,0.978,1.0,9780,220,0
0.999905,0.9778,1.0,9778,222,0
0.999907,0.9777,1.0,9777,223,0
0.999908,0.9777,1.0,9777,223,0
0.999914,0.9772,1.0,9772,228,0
0.999915,0.9767,1.0,9767,233,0
0.999916,0.9765,1.0,9765,235,0
0.999917,0.9764,1.0,9764,236,0
0.999918,0.9761,1.0,9761,239,0
0.99992,0.9758,1.0,9758,242,0
0.999921,0.9755,1.0,9755,245,0
0.999924,0.9749,1.0,9749,251,0
0.999925,0.9747,1.0,9747,253,0
0.999926,0.9745,1.0,9745,255,0
0.999927,0.9741,1.0,9741,259,0
0.999928,0.9741,1.0,9741,259,0
0.999929,0.9739,1.0,9739,261,0
0.999931,0.9737,1.0,9737,263,0
0.999932,0.9735,1.0,9735,265,0
0.999933,0.9732,1.0,9732,268,0
0.999934,0.973,1.0,9730,270,0
0.999935,0.9728,1.0,9728,272,0
0.999936,0.9727,1.0,9727,273,0
0.999938,0.9725,1.0,9725,275,0
0.999939,0.9722,1.0,9722,278,0
0.99994,0.972,1.0,9720,280,0
0.999941,0.9718,1.0,9718,282,0
0.999942,0.9711,1.0,9711,289,0
0.999943,0.9708,1.0,9708,292,0
0.999944,0.9707,1.0,9707,293,0
0.999945,0.9702,1.0,9702,298,0
0.999946,0.9699,1.0,9699,301,0
0.999948,0.9694,1.0,9694,306,0
0.999949,0.9691,1.0,9691,309,0
0.99995,0.9687,1.0,9687,313,0
0.999951,0.968,1.0,9680,320,0
0.999952,0.9677,1.0,9677,323,0
0.999953,0.9674,1.0,9674,326,0
0.999954,0.9671,1.0,9671,329,0
0.999955,0.9666,1.0,9666,334,0
0.999956,0.9662,1.0,9662,338,0
0.999957,0.9653,1.0,9653,347,0
0.999958,0.9651,1.0,9651,349,0
0.999959,0.9646,1.0,9646,354,0
0.99996,0.9639,1.0,9639,361,0
0.999961,0.963,1.0,9630,370,0
0.999962,0.9626,1.0,9626,374,0
0.999963,0.9619,1.0,9619,381,0
0.999964,0.9606,1.0,9606,394,0
0.999965,0.9592,1.0,9592,408,0
0.999966,0.9583,1.0,9583,417,0
0.999967,0.9573,1.0,9573,427,0
0.999968,0.9563,1.0,9563,437,0
0.999969,0.9552,1.0,9552,448,0
0.99997,0.9537,1.0,9537,463,0
0.999971,0.9527,1.0,9527,473,0
0.999972,0.9517,1.0,9517,483,0
0.999973,0.9495,1.0,9495,505,0
0.999974,0.9471,1.0,9471,529,0
0.999975,0.9451,1.0,9451,549,0
0.999976,0.9431,1.0,9431,569,0
0.999977,0.9413,1.0,9413,587,0
0.999978,0.9383,1.0,9383,617,0
0.999979,0.9358,1.0,9358,642,0
0.99998,0.9334,1.0,9334,666,0
0.999981,0.9295,1.0,9295,705,0
0.999982,0.9265,1.0,9265,735,0
0.999983,0.9222,1.0,9222,778,0
0.999984,0.9187,1.0,9187,813,0
0.999985,0.914,1.0,9140,860,0
0.999986,0.9077,1.0,9077,923,0
0.999987,0.9022,1.0,9022,978,0
0.999988,0.8936,1.0,8936,1064,0
0.999989,0.8867,1.0,8867,1133,0
0.99999,0.8773,1.0,8773,1227,0
0.999991,0.8634,1.0,8634,1366,0
0.999992,0.851,1.0,8510,1490,0
0.999993,0.8302,1.0,8302,1698,0
0.999994,0.8085,1.0,8085,1915,0
0.999995,0.7764,1.0,7764,2236,0
0.999996,0.7326,1.0,7326,2674,0
0.999997,0.6713,1.0,6713,3287,0
0.999998,0.5836,1.0,5836,4164,0
0.999999,0.3831,1.0,3831,6169,0
1.0,0.0008,1.0,8,9992,0
