v2_weight,digit_acc,sequence_acc,correct_sequences
0.0,0.999750018119812,0.9986000061035156,9986
0.05,0.999750018119812,0.9986000061035156,9986
0.1,0.999750018119812,0.9986000061035156,9986
0.15,0.999750018119812,0.9986000061035156,9986
0.2,0.999750018119812,0.9986000061035156,9986
0.25,0.9997666478157043,0.9987000226974487,9987
0.3,0.9997666478157043,0.9987000226974487,9987
0.35,0.9997666478157043,0.9987000226974487,9987
0.4,0.9997666478157043,0.9987000226974487,9987
0.45,0.9997666478157043,0.9987000226974487,9987
0.5,0.999750018119812,0.9986000061035156,9986
0.55,0.9997666478157043,0.9986000061035156,9986
0.6,0.9997666478157043,0.9986000061035156,9986
0.65,0.9997666478157043,0.9986000061035156,9986
0.7,0.9997666478157043,0.9986000061035156,9986
0.75,0.9997666478157043,0.9986000061035156,9986
0.8,0.9997666478157043,0.9986000061035156,9986
0.85,0.9997666478157043,0.9986000061035156,9986
0.9,0.9997833371162415,0.9987000226974487,9987
0.95,0.9997833371162415,0.9987000226974487,9987
1.0,0.9997666478157043,0.9986000061035156,9986
